"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Current consolidated version","Latest consolidated version","Procedure status","LP_Legal basis","Cellar reference","ELI","Date created","Latest modification of notice","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Subject matter, 1st level","Subject matter, 2nd level","Subject matter, 3rd level","Subject matter, 4th level","Directory code","Directory code, 1st level","Directory code, 2nd level","Directory code, 3rd level","Directory code, 4th level","Directory code, 5th level","Directory code, 6th level","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Treaty","Legal basis","Consolidation: basic act","Instruments cited","Related document(s)","Instruments involved","Modifies","Case affecting","Earlier related instruments","Transposed legal act(s)","Modified by","Rectified by","Subsequent related instruments","Affected by case","Observations","National court","Comments","Internal comment","Additional information","Notes relating to the decision","Collection of the document","Date of document","Date of publication","Author","Document sector","Document year","Document type","Document number","Document corrigendum","Date of effect","Date of end of validity","Date of transposition","In force indicator","Entry in the directory","Number of pages","Publication Reference",
"Guideline (EU) 2024/2616 of the European Central Bank of 30 July 2024 amending Guideline (EU) 2022/912 on a new-generation Trans-European Automated Real-time Gross Settlement Express Transfer system (TARGET) (ECB/2022/8) (ECB/2024/20)","ECB/2024/20","32024O2616","","","","","","",,"","03122b3b-81e9-11ef-a67d-01aa75ed71a1","http://data.europa.eu/eli/guideline/2024/2616/oj","2024-10-04","071007/10/2024 06:34:192024","Guideline","electronic banking, intra-EU payment, payment system","","Economic and Monetary Union, Euro, European Central Bank (ECB), Payment and settlement systems, Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET)","Economic and Monetary Union, Euro, European Central Bank (ECB)","Payment and settlement systems","Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET)","","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital, Economic policy, Monetary policy, Economic and monetary union, Direct instruments of monetary policy","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital","Economic policy, Monetary policy","Economic and monetary union, Direct instruments of monetary policy","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32024D1209","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022O0912","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-07-30","2024-10-04","European Central Bank","3","2024","O","2616","","2024-07-30, 2024-12-01","No end date","","true","LIE","","OJ L, 2024/2616,  4.10.2024, ELI: http://data.europa.eu/eli/guideline/2024/2616/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Decision (EU) 2024/2546 of the European Central Bank of 19 September 2024 amending Decision (EU) 2023/2684 on the approval of the volume of coin issuance in 2024 (ECB/2023/28) (ECB/2024/25)","ECB/2024/25","32024D2546","","","","","","",,"","cf369b79-7c68-11ef-bbbe-01aa75ed71a1","http://data.europa.eu/eli/dec/2024/2546/oj","2024-09-27","300930/09/2024 06:19:182024","Decision","money, issuing of currency, Malta, euro, participating country","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Coin issuance","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Coin issuance","","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital, Monetary policy, Economic policy, Economic and monetary union","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital","Monetary policy, Economic policy","Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E128, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015D0043(01)","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023D2684","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-09-19","2024-09-27","European Central Bank","3","2024","D","2546","","2024-09-24","No end date","","true","LIE","","OJ L, 2024/2546,  27.9.2024, ELI: http://data.europa.eu/eli/dec/2024/2546/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Decision (EU) 2024/2486 of the European Central Bank of 10 September 2024 amending Decision (EU) 2023/2684 on the approval of the volume of coin issuance in 2024 (ECB/2023/28) (ECB/2024/24)","ECB/2024/24","32024D2486","","","","","","",,"","486b73ec-761f-11ef-bbbe-01aa75ed71a1","http://data.europa.eu/eli/dec/2024/2486/oj","2024-09-19","200920/09/2024 13:59:162024","Decision","Croatia, euro, money, issuing of currency, Greece, Slovakia","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Coin issuance","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Coin issuance","","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital, Economic policy, Monetary policy, Economic and monetary union","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital","Economic policy, Monetary policy","Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E128, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015D0043(01)","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023D2684","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-09-10","2024-09-19","European Central Bank","3","2024","D","2486","","2024-09-13","No end date","","true","LIE","","OJ L, 2024/2486,  19.9.2024, ELI: http://data.europa.eu/eli/dec/2024/2486/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Judgment of the Court (First Chamber) of 5 September 2024.#M.S.G. and Others v Banco Santander, SA.#Requests for a preliminary ruling from the Tribunal Supremo.#Reference for a preliminary ruling – Directive 2014/59/EU – Resolution of credit institutions and investment firms – General principles – Article 34(1)(a) and (b) – Bail-in – Write down of capital instruments – Conversion of subordinated obligations into shares and mandatory transfer for no consideration – Effects – Article 38(13) – Article 53(1) and (3) – Article 60(2), first subparagraph, points (b) and (c) – Articles 73 to 75 – Protection of the rights of shareholders and creditors – Purchase of capital instruments – Flawed and incorrect information provided in the prospectus – Action for damages – Action for a declaration of nullity in respect of the agreement for the purchase of capital instruments – Actions brought against the universal successor of the credit institution subject to a resolution decision.#Joined Cases C-775/22, C-779/22 and C-794/22.","","62022CJ0775","","","","","","",,"","d8e4647b-6b65-11ef-a8ba-01aa75ed71a1","","2024-09-05","111111/11/2024 12:34:192024","Judgment","","ECLI:EU:C:2024:679","Right of establishment, Freedom to provide services, Approximation of laws","Right of establishment, Freedom to provide services, Approximation of laws","","","","","","","","","","","","Internal policy of the European Union, Internal policy of the European Union, EEC/EC - Economic and monetary policy * Economic and monetary policy, EEC/EC - Economic and monetary policy * Economic and monetary policy, Economic policy, Economic policy","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CJ0410, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014L0059, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018CJ0222, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018CJ0752, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CJ0665, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62014CJ0526, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62022CJ0670, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P052, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62022CJ0072, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0041, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017D1246, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P047, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017R1129, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E267, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003L0071","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62022CA0775","European Commission, Spain, EU institutions and bodies, Italy, EU Member States","** AFFAIRE C-775/22 **  
        *A9* Tribunal Supremo, sala de lo Civil, auto de 15/12/2022 (2929/2021)  
        ** AFFAIRE C-779/22 **  
        *A9* Tribunal Supremo, sala de lo Civil, auto de 15/12/2022 (2654/2019)  
        ** AFFAIRE C-794/22 **  
        *A9* Tribunal Supremo, sala de lo Civil, auto de 15/12/2022 (1495/2019)","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2024-09-05","","Court of Justice, Ćapeta","6","2022","CJ","0775","","","","","","","","Court reports – general",
"Judgment of the Court (Fourth Chamber) of 5 September 2024.#Novo Banco SA - Sucursal en España and Others v C.F.O. and Others.#Requests for a preliminary ruling from the Tribunal Supremo.#Reference for a preliminary ruling – Reorganisation and winding up of credit institutions – Directive 2001/24/EC – Articles 3 and 6 – Reorganisation measure taken in respect of a credit institution – Transfer of the obligations and responsibilities of that credit institution to a ‘bridge bank’ prior to the bringing of a legal action seeking payment of a claim held against that credit institution – Transfer back to the same credit institution of certain of those obligations and responsibilities – Law of the Member State where the proceedings concerned were brought (lex concursus) – Effects of a reorganisation measure in other Member States – Mutual recognition – Effects of a failure to comply with the obligation to publish the reorganisation measure – Articles 17, 21, 38 and 47 of the Charter of Fundamental Rights of the European Union – Right to property – Effective judicial protection – Consumer protection – Directive 93/13/EC – Article 6(1) – Unfair terms – Principles of legal certainty and the protection of legitimate expectations – Whether the ‘bridge bank’ can be sued.#Joined Cases C-498/22 to C-500/22.","","62022CJ0498","","","","","","",,"","d9378d8d-6b65-11ef-a8ba-01aa75ed71a1","","2024-09-05","111111/11/2024 12:31:262024","Judgment","","ECLI:EU:C:2024:686","Consumer protection, Fundamental rights, Approximation of laws, Charter of Fundamental Rights, Right of establishment","Consumer protection, Fundamental rights, Approximation of laws, Charter of Fundamental Rights, Right of establishment","","","","","","","","","","","","Internal policy of the European Union, EEC/EC - Free movement of persons and services * Free movement of persons and services, Freedom of establishment, Freedom of establishment - The various activities * The various activities","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62016CJ0628, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32012Q0929(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0010, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P052, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62019CJ0194, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006CJ0445, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62021CJ0520, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CJ0352, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P047, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P051, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P038, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CJ0410, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31993L0013, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CJ0083, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018CJ0494, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CJ0165, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62014CJ0183, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018CJ0280, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CJ0181, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62017CJ0518, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E267, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0308, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62017CJ0235, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62021CJ0443, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0041, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014L0059, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001L0024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62021CJ0195, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62022CC0498, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62021CJ0045, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P017, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015CJ0560, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P021, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62019CJ0504, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CJ0160","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62022CA0498","European Commission, EU institutions and bodies, EU Member States, Portugal, Spain","** AFFAIRE C-498/22 **  
        *A9* Tribunal Supremo, sala de lo Civil, auto de 19/07/2022 (4170/2018)  
        ** AFFAIRE C-499/22 **  
        *A9* Tribunal Supremo, sala de lo Civil, auto de 19/07/2022 (4422/2018)  
        ** AFFAIRE C-500/22 **  
        *A9* Tribunal Supremo, sala de lo Civil, auto de 19/07/2022 (4955/2018)","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2024-09-05","","Court of Justice, Richard de la Tour","6","2022","CJ","0498","","","","","","","","Court reports – general",
"Judgment of the Court (Second Chamber) of 5 September 2024.#European Chemicals Agency v Hallertauer Hopfenveredelungsges. m.b.H. and B. GmbH.#Requests for a preliminary ruling from the Bayerisches Verwaltungsgericht Regensburg and Oberverwaltungsgericht des Landes Sachsen-Anhalt.#Reference for a preliminary ruling – Article 299 TFEU – Regulation (EC) No 1907/2006 – Registration, evaluation, authorisation and restriction of chemicals (REACH) – Article 94(1) – Regulation (EC) No 340/2008 – First subparagraph of Article 11(3) and third subparagraph of Article 13(4) – Fees due to the European Chemicals Agency (ECHA) – Fee for registration of a substance – Reduction granted to small and medium-sized enterprises (SMEs) – Verification by ECHA of the declaration relating to the size of the enterprise in question – Failure to provide certain information within the prescribed period – ECHA decision demanding payment of the full fee in question and imposing an administrative charge – Enforcement – Possibility for ECHA to bring an action before a national court in order to obtain payment of that administrative charge.#Joined Cases C-256/23 and C-290/23.","","62023CJ0256","","","","","","",,"","b57f43fc-6b65-11ef-a8ba-01aa75ed71a1","","2024-09-05","111111/11/2024 08:25:292024","Judgment","","ECLI:EU:C:2024:683","Research and technological development","Research and technological development","","","","","","","","","","","","Internal policy of the European Union, Public procurement by the EU institutions, Internal policy of the European Union, Approximation of laws, Legal acts of the European Union, Approximation of laws, Chemicals, General, Chemicals, Chemical substances (REACH), Chemical substances (REACH), General, Fees and charges payable to the European Chemicals Agency","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017R1001, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E274, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0806, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008M019, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003H0361, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62023CC0256, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008R0340, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E299, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E267, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62016CJ0217, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R1046, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E256, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006R1907, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31995R0297, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62000CJ0050, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008M004, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62017CJ0584","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62023CA0256","Greece, EU Member States, European Commission, Poland, EU institutions and bodies","** AFFAIRE C-256/23 **  
        *A9* Bayerisches Verwaltungsgericht Regensburg, beschluss vom 11/04/2023 (Az. RN 7 K 19.925)  
        ** AFFAIRE C-290/23 **  
        *A9* Oberverwaltungsgericht des Landes Sachsen-Anhalt, beschluss vom 06/04/2023 (2 L 86/21; 4 A 45/21 HAL)","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2024-09-05","","Ćapeta, Court of Justice","6","2023","CJ","0256","","","","","","","","Court reports – general",
"Guideline (EU) 2024/2148 of the European Central Bank of 23 July 2024 amending Guideline ECB/2011/23 on the statistical reporting requirements of the European Central Bank in the field of external statistics (ECB/2024/21)","ECB/2024/21","32024O2148","","","","","","",,"","09619c8f-5455-11ef-acbc-01aa75ed71a1","http://data.europa.eu/eli/guideline/2024/2148/oj","2024-08-07","080808/08/2024 11:33:502024","Guideline","disclosure of information, economic statistics, balance of payments, foreign investment, euro area, data collection, euro, statistical method","","Economic and Monetary Union, European system of central banks, Economic and monetary policy","Economic and Monetary Union, European system of central banks, Economic and monetary policy","","","","General, financial and institutional matters, Economic and monetary policy and free movement of capital, Provisions governing the institutions, Economic policy, European System of Central Banks, Economic and monetary union","General, financial and institutional matters, Economic and monetary policy and free movement of capital","Provisions governing the institutions, Economic policy","European System of Central Banks, Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2533","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020O1554, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013O0025","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32011O0023","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-07-23","2024-08-07","European Central Bank","3","2024","O","2148","","2024-09-01, 2024-08-07","No end date","","true","LIE","","OJ L, 2024/2148,  7.8.2024, ELI: http://data.europa.eu/eli/guideline/2024/2148/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Decision (EU) 2024/2016 of the European Central Bank of 16 July 2024 amending Decision (EU) 2019/1743 on the remuneration of holdings of excess reserves and of certain deposits (ECB/2019/31) (ECB/2024/19)","ECB/2024/19","32024D2016","","","","","","",,"","2a6f1b6d-4ae7-11ef-acbc-01aa75ed71a1","http://data.europa.eu/eli/dec/2024/2016/oj","2024-07-26","160816/08/2024 07:40:192024","Decision","bank deposit, financial legislation, interest, reserves","","Economic and Monetary Union, European Central Bank (ECB), Monetary policy and Operations, Monetary policy instruments, General framework","Economic and Monetary Union, European Central Bank (ECB)","Monetary policy and Operations","Monetary policy instruments","General framework","Economic and monetary policy and free movement of capital, Economic policy, Economic and monetary union","Economic and monetary policy and free movement of capital","Economic policy","Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010D0031(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010D0017(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32024D1209, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014O0060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010D0004(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020R0672, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003D0014(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2463","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019D0031","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-07-16","2024-07-26","European Central Bank","3","2024","D","2016","","2024-08-15, 2024-12-01","No end date","","true","LIE","","OJ L, 2024/2016,  26.7.2024, ELI: http://data.europa.eu/eli/dec/2024/2016/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Decision (EU) 2024/2023 of the European Central Bank of 3 July 2024 amending Decision ECB/2004/2 adopting the Rules of Procedure of the European Central Bank (ECB/2024/18)","ECB/2024/18","32024D2023","","","","","","",,"","a53a4168-4a1d-11ef-acbc-01aa75ed71a1","http://data.europa.eu/eli/dec/2024/2023/oj","2024-07-25","140814/08/2024 09:10:202024","Decision","operation of the Institutions, rules of procedure, European Central Bank","","Provisions governing the Institutions, European Central Bank (ECB), European Central Bank (ECB), Banking supervision, ECB institutional provisions, Institutional structure and Governance, Rules of procedure and other internal arrangements","Provisions governing the Institutions, European Central Bank (ECB), European Central Bank (ECB)","Banking supervision, ECB institutional provisions","Institutional structure and Governance, Rules of procedure and other internal arrangements","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016), Treaty on European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-07-03","2024-07-25","European Central Bank","3","2024","D","2023","","2024-08-14","No end date","","true","LIE","","OJ L, 2024/2023,  25.7.2024, ELI: http://data.europa.eu/eli/dec/2024/2023/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2024/1988 of the European Central Bank of 27 June 2024 concerning statistics on investment funds and repealing Decision (EU) 2015/32 (ECB/2014/62) (ECB/2024/17) (recast)","ECB/2024/17","32024R1988","","","","","","",,"","e8261ae6-488b-11ef-acbc-01aa75ed71a1","http://data.europa.eu/eli/reg/2024/1988/oj","2024-07-23","120812/08/2024 08:11:192024","Regulation","EU statistics, disclosure of information, European System of Central Banks, investment company, statistical method, financial statistics, exchange of information, data collection","","Information and verification, Economic and monetary policy, European Central Bank (ECB), Statistics, Monetary, financial institutions and markets statistics","Information and verification, Economic and monetary policy, European Central Bank (ECB)","Statistics","Monetary, financial institutions and markets statistics","","Economic and monetary policy and free movement of capital, General, financial and institutional matters, Economic and monetary policy and free movement of capital, Monetary policy, Provisions governing the institutions, Statistics, Indirect instruments of monetary policy, European System of Central Banks","Economic and monetary policy and free movement of capital, General, financial and institutional matters, Economic and monetary policy and free movement of capital","Monetary policy, Provisions governing the institutions, Statistics","Indirect instruments of monetary policy, European System of Central Banks","","","","","","Treaty on the Functioning of the European Union (consolidated version 2016), Treaty on European Union (consolidated version 2016)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2533, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R0379, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M004, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022O0971, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R0231, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31986L0635, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0065, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32011L0061, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32012R1011, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014L0065, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018O0016, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R0549","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D1100, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1073, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014D0062(01)","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2024-06-27","2024-07-23","European Central Bank","3","2024","R","1988","","2025-12-01, 2024-08-12","No end date","","true","REP","","OJ L, 2024/1988,  23.7.2024, ELI: http://data.europa.eu/eli/reg/2024/1988/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
